packet_id,src,dest,created,delivered,latency,hops
297,25,3,297.0,353.0,56.0,61
318,40,13,318.0,355.0,37.0,38
333,0,21,333.0,358.0,25.0,26
299,48,37,299.0,359.0,60.0,64
358,25,24,358.0,360.0,2.0,2
317,20,54,317.0,361.0,44.0,45
344,56,2,344.0,363.0,19.0,19
313,23,4,313.0,363.0,50.0,50
335,56,21,335.0,365.0,30.0,30
360,38,34,360.0,366.0,6.0,5
309,55,51,309.0,367.0,58.0,59
342,58,13,342.0,367.0,25.0,28
306,38,16,306.0,368.0,62.0,67
311,36,12,311.0,368.0,57.0,59
323,51,24,323.0,369.0,46.0,46
312,11,56,312.0,373.0,61.0,64
320,5,56,320.0,375.0,55.0,58
337,55,29,337.0,375.0,38.0,39
308,22,6,308.0,375.0,67.0,69
345,55,13,345.0,376.0,31.0,31
334,29,3,334.0,376.0,42.0,43
338,4,26,338.0,376.0,38.0,39
326,16,51,326.0,377.0,51.0,52
310,25,12,310.0,377.0,67.0,70
324,31,53,324.0,377.0,53.0,55
375,2,3,375.0,380.0,5.0,4
353,58,0,353.0,380.0,27.0,29
363,16,24,363.0,384.0,21.0,21
352,23,42,352.0,386.0,34.0,36
374,5,13,374.0,386.0,12.0,11
350,41,46,350.0,388.0,38.0,40
343,40,21,343.0,391.0,48.0,50
377,40,27,377.0,391.0,14.0,14
329,14,57,329.0,391.0,62.0,62
327,21,4,327.0,392.0,65.0,66
357,39,41,357.0,393.0,36.0,37
355,42,3,355.0,393.0,38.0,38
368,42,45,368.0,395.0,27.0,26
393,34,30,393.0,398.0,5.0,5
367,37,54,367.0,400.0,33.0,32
392,39,32,392.0,400.0,8.0,8
351,8,42,351.0,400.0,49.0,51
341,20,5,341.0,401.0,60.0,60
356,44,56,356.0,404.0,48.0,47
354,7,38,354.0,404.0,50.0,50
380,2,26,380.0,405.0,25.0,25
398,30,32,398.0,406.0,8.0,7
347,48,31,347.0,406.0,59.0,58
365,0,27,365.0,408.0,43.0,46
404,2,3,404.0,409.0,5.0,4
339,27,18,339.0,409.0,70.0,72
402,42,44,402.0,410.0,8.0,7
388,14,20,388.0,413.0,25.0,27
376,3,30,376.0,413.0,37.0,38
346,46,18,346.0,415.0,69.0,69
366,17,3,366.0,417.0,51.0,51
405,33,40,405.0,418.0,13.0,12
373,57,43,373.0,419.0,46.0,47
383,15,48,383.0,420.0,37.0,36
382,11,35,382.0,420.0,38.0,37
384,24,50,384.0,420.0,36.0,35
385,55,27,385.0,428.0,43.0,43
387,5,39,387.0,428.0,41.0,41
364,52,31,364.0,430.0,66.0,66
381,18,6,381.0,434.0,53.0,53
379,51,31,379.0,434.0,55.0,55
390,54,25,390.0,434.0,44.0,44
369,26,19,369.0,434.0,65.0,66
396,55,9,396.0,435.0,39.0,39
386,11,49,386.0,435.0,49.0,51
378,48,13,378.0,435.0,57.0,56
408,30,57,408.0,437.0,29.0,28
421,30,40,421.0,441.0,20.0,19
394,58,26,394.0,443.0,49.0,49
391,49,33,391.0,444.0,53.0,53
397,25,50,397.0,445.0,48.0,48
413,45,58,413.0,446.0,33.0,32
431,16,20,431.0,446.0,15.0,15
389,28,23,389.0,447.0,58.0,58
422,46,1,422.0,451.0,29.0,28
401,10,48,401.0,453.0,52.0,51
415,12,36,415.0,455.0,40.0,41
423,3,9,423.0,455.0,32.0,31
425,32,48,425.0,457.0,32.0,31
447,31,34,447.0,457.0,10.0,10
434,47,59,434.0,458.0,24.0,29
429,8,9,429.0,461.0,32.0,34
407,1,57,407.0,462.0,55.0,57
411,2,32,411.0,462.0,51.0,51
437,31,49,437.0,464.0,27.0,27
449,9,14,449.0,464.0,15.0,14
436,13,22,436.0,466.0,30.0,30
400,39,32,400.0,466.0,66.0,66
445,56,5,445.0,467.0,22.0,24
419,21,37,419.0,469.0,50.0,51
414,19,15,414.0,469.0,55.0,57
